date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:41:31	755731/755731	---M-Z	200	added ('OK')	application/x-javascript	etag:%22b8813-67e2872b-474041cf8019e87a;gz%22	https://templates.iqonic.design/hope-ui/html/dist/assets/js/core/external.min.js	C:/Users/IT_ASP/Desktop/Template/ERP/templates.iqonic.design/hope-ui/html/dist/assets/js/core/external.min.js	(from https://templates.iqonic.design/hope-ui/html/dist/dashboard/index.html)
09:41:31	20646/20646	---M-Z	200	added ('OK')	application/x-javascript	etag:%2250a6-67e2872b-cb50da55b65c8a29;gz%22	https://templates.iqonic.design/hope-ui/html/dist/assets/js/charts/widgetcharts.js	C:/Users/IT_ASP/Desktop/Template/ERP/templates.iqonic.design/hope-ui/html/dist/assets/js/charts/widgetcharts.js	(from https://templates.iqonic.design/hope-ui/html/dist/dashboard/index.html)
09:41:32	93388/93388	---M-Z	200	added ('OK')	application/x-javascript	etag:%2216ccc-67e2872b-e8cb191c0e29d8fa;gz%22	https://templates.iqonic.design/hope-ui/html/dist/assets/js/charts/vectore-chart.js	C:/Users/IT_ASP/Desktop/Template/ERP/templates.iqonic.design/hope-ui/html/dist/assets/js/charts/vectore-chart.js	(from https://templates.iqonic.design/hope-ui/html/dist/dashboard/index.html)
09:41:32	6471/6471	---M-Z	200	added ('OK')	application/x-javascript	etag:%221947-67e2872b-6ba41424e3582099;gz%22	https://templates.iqonic.design/hope-ui/html/dist/assets/js/charts/dashboard.js	C:/Users/IT_ASP/Desktop/Template/ERP/templates.iqonic.design/hope-ui/html/dist/assets/js/charts/dashboard.js	(from https://templates.iqonic.design/hope-ui/html/dist/dashboard/index.html)
09:41:32	30577/30577	---M-Z	200	added ('OK')	application/x-javascript	etag:%227771-67e2872b-61c8a9d2a54c04a3;gz%22	https://templates.iqonic.design/hope-ui/html/dist/assets/js/plugins/fslightbox.js	C:/Users/IT_ASP/Desktop/Template/ERP/templates.iqonic.design/hope-ui/html/dist/assets/js/plugins/fslightbox.js	(from https://templates.iqonic.design/hope-ui/html/dist/dashboard/index.html)
09:41:33	16742/16742	---M-Z	200	added ('OK')	application/x-javascript	etag:%224166-67e2872b-fac37eaf02ebcb08;gz%22	https://templates.iqonic.design/hope-ui/html/dist/assets/js/plugins/setting.js	C:/Users/IT_ASP/Desktop/Template/ERP/templates.iqonic.design/hope-ui/html/dist/assets/js/plugins/setting.js	(from https://templates.iqonic.design/hope-ui/html/dist/dashboard/index.html)
09:41:33	4521/4521	---M-Z	200	added ('OK')	application/x-javascript	etag:%2211a9-67e2872b-17ad45fef2e5a9b2;gz%22	https://templates.iqonic.design/hope-ui/html/dist/assets/js/plugins/slider-tabs.js	C:/Users/IT_ASP/Desktop/Template/ERP/templates.iqonic.design/hope-ui/html/dist/assets/js/plugins/slider-tabs.js	(from https://templates.iqonic.design/hope-ui/html/dist/dashboard/index.html)
09:41:33	2765/2765	---M-Z	200	added ('OK')	application/x-javascript	etag:%22acd-67e2872b-ea41eea57f5b7685;gz%22	https://templates.iqonic.design/hope-ui/html/dist/assets/js/plugins/form-wizard.js	C:/Users/IT_ASP/Desktop/Template/ERP/templates.iqonic.design/hope-ui/html/dist/assets/js/plugins/form-wizard.js	(from https://templates.iqonic.design/hope-ui/html/dist/dashboard/index.html)
09:41:34	14690/14690	---M-Z	200	added ('OK')	application/x-javascript	etag:%223962-67e2872b-ee2e111d29969a17;gz%22	https://templates.iqonic.design/hope-ui/html/dist/assets/vendor/aos/dist/aos.js	C:/Users/IT_ASP/Desktop/Template/ERP/templates.iqonic.design/hope-ui/html/dist/assets/vendor/aos/dist/aos.js	(from https://templates.iqonic.design/hope-ui/html/dist/dashboard/index.html)
09:41:34	17999/17999	---M-Z	200	added ('OK')	application/x-javascript	etag:%22464f-67e2872b-85ace5eeeabe04;gz%22	https://templates.iqonic.design/hope-ui/html/dist/assets/js/hope-ui.js	C:/Users/IT_ASP/Desktop/Template/ERP/templates.iqonic.design/hope-ui/html/dist/assets/js/hope-ui.js	(from https://templates.iqonic.design/hope-ui/html/dist/dashboard/index.html)
09:41:35	27257/27257	---M-Z	200	added ('OK')	text/css	etag:%226a79-67e2872b-b4c90da82710ecdf;gz%22	https://templates.iqonic.design/hope-ui/html/dist/assets/vendor/fullcalendar/core/main.css	C:/Users/IT_ASP/Desktop/Template/ERP/templates.iqonic.design/hope-ui/html/dist/assets/vendor/fullcalendar/core/main.css	(from https://templates.iqonic.design/hope-ui/html/dist/dashboard/special-pages/calender.html)
09:41:36	1807/1807	---M-Z	200	added ('OK')	text/css	etag:%2270f-67e2872b-9e39733614f895de;gz%22	https://templates.iqonic.design/hope-ui/html/dist/assets/vendor/fullcalendar/daygrid/main.css	C:/Users/IT_ASP/Desktop/Template/ERP/templates.iqonic.design/hope-ui/html/dist/assets/vendor/fullcalendar/daygrid/main.css	(from https://templates.iqonic.design/hope-ui/html/dist/dashboard/special-pages/calender.html)
09:41:36	7304/7304	---M-Z	200	added ('OK')	text/css	etag:%221c88-67e2872b-6368b06aba6fb;gz%22	https://templates.iqonic.design/hope-ui/html/dist/assets/vendor/fullcalendar/timegrid/main.css	C:/Users/IT_ASP/Desktop/Template/ERP/templates.iqonic.design/hope-ui/html/dist/assets/vendor/fullcalendar/timegrid/main.css	(from https://templates.iqonic.design/hope-ui/html/dist/dashboard/special-pages/calender.html)
